Date,Meal,Menu,Calories,Price
2024-01-11,Breakfast,"현미밥+미역국+김치",400,3000
2024-01-11,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-01-11,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-01-12,Breakfast,"현미밥+미역국+김치",400,3000
2024-01-12,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-01-12,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-01-13,Breakfast,"현미밥+미역국+김치",400,3000
2024-01-13,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-01-13,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-01-14,Breakfast,"현미밥+미역국+김치",400,3000
2024-01-14,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-01-14,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-01-15,Breakfast,"현미밥+미역국+김치",400,3000
2024-01-15,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-01-15,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-01-16,Breakfast,"현미밥+미역국+김치",400,3000
2024-01-16,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-01-16,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-01-17,Breakfast,"현미밥+미역국+김치",400,3000
2024-01-17,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-01-17,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-01-18,Breakfast,"현미밥+미역국+김치",400,3000
2024-01-18,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-01-18,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-01-19,Breakfast,"현미밥+미역국+김치",400,3000
2024-01-19,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-01-19,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-01-20,Breakfast,"현미밥+미역국+김치",400,3000
2024-01-20,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-01-20,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-01-21,Breakfast,"현미밥+미역국+김치",400,3000
2024-01-21,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-01-21,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-01-22,Breakfast,"현미밥+미역국+김치",400,3000
2024-01-22,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-01-22,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-01-23,Breakfast,"현미밥+미역국+김치",400,3000
2024-01-23,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-01-23,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-01-24,Breakfast,"현미밥+미역국+김치",400,3000
2024-01-24,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-01-24,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-01-25,Breakfast,"현미밥+미역국+김치",400,3000
2024-01-25,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-01-25,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-01-26,Breakfast,"현미밥+미역국+김치",400,3000
2024-01-26,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-01-26,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-01-27,Breakfast,"현미밥+미역국+김치",400,3000
2024-01-27,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-01-27,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-01-28,Breakfast,"현미밥+미역국+김치",400,3000
2024-01-28,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-01-28,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-01-29,Breakfast,"현미밥+미역국+김치",400,3000
2024-01-29,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-01-29,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-01-30,Breakfast,"현미밥+미역국+김치",400,3000
2024-01-30,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-01-30,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-01-31,Breakfast,"현미밥+미역국+김치",400,3000
2024-01-31,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-01-31,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-02-01,Breakfast,"현미밥+미역국+김치",400,3000
2024-02-01,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-02-01,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-02-02,Breakfast,"현미밥+미역국+김치",400,3000
2024-02-02,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-02-02,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-02-03,Breakfast,"현미밥+미역국+김치",400,3000
2024-02-03,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-02-03,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-02-04,Breakfast,"현미밥+미역국+김치",400,3000
2024-02-04,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-02-04,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-02-05,Breakfast,"현미밥+미역국+김치",400,3000
2024-02-05,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-02-05,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-02-06,Breakfast,"현미밥+미역국+김치",400,3000
2024-02-06,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-02-06,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-02-07,Breakfast,"현미밥+미역국+김치",400,3000
2024-02-07,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-02-07,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-02-08,Breakfast,"현미밥+미역국+김치",400,3000
2024-02-08,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-02-08,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-02-09,Breakfast,"현미밥+미역국+김치",400,3000
2024-02-09,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-02-09,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-02-10,Breakfast,"현미밥+미역국+김치",400,3000
2024-02-10,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-02-10,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-02-11,Breakfast,"현미밥+미역국+김치",400,3000
2024-02-11,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-02-11,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-02-12,Breakfast,"현미밥+미역국+김치",400,3000
2024-02-12,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-02-12,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-02-13,Breakfast,"현미밥+미역국+김치",400,3000
2024-02-13,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-02-13,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-02-14,Breakfast,"현미밥+미역국+김치",400,3000
2024-02-14,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-02-14,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-02-15,Breakfast,"현미밥+미역국+김치",400,3000
2024-02-15,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-02-15,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-02-16,Breakfast,"현미밥+미역국+김치",400,3000
2024-02-16,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-02-16,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-02-17,Breakfast,"현미밥+미역국+김치",400,3000
2024-02-17,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-02-17,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-02-18,Breakfast,"현미밥+미역국+김치",400,3000
2024-02-18,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-02-18,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-02-19,Breakfast,"현미밥+미역국+김치",400,3000
2024-02-19,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-02-19,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-02-20,Breakfast,"현미밥+미역국+김치",400,3000
2024-02-20,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-02-20,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-02-21,Breakfast,"현미밥+미역국+김치",400,3000
2024-02-21,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-02-21,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-02-22,Breakfast,"현미밥+미역국+김치",400,3000
2024-02-22,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-02-22,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-02-23,Breakfast,"현미밥+미역국+김치",400,3000
2024-02-23,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-02-23,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-02-24,Breakfast,"현미밥+미역국+김치",400,3000
2024-02-24,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-02-24,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-02-25,Breakfast,"현미밥+미역국+김치",400,3000
2024-02-25,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-02-25,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-02-26,Breakfast,"현미밥+미역국+김치",400,3000
2024-02-26,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-02-26,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-02-27,Breakfast,"현미밥+미역국+김치",400,3000
2024-02-27,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-02-27,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-02-28,Breakfast,"현미밥+미역국+김치",400,3000
2024-02-28,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-02-28,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-02-29,Breakfast,"현미밥+미역국+김치",400,3000
2024-02-29,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-02-29,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-03-01,Breakfast,"현미밥+미역국+김치",400,3000
2024-03-01,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-03-01,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-03-02,Breakfast,"현미밥+미역국+김치",400,3000
2024-03-02,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-03-02,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-03-03,Breakfast,"현미밥+미역국+김치",400,3000
2024-03-03,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-03-03,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-03-04,Breakfast,"현미밥+미역국+김치",400,3000
2024-03-04,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-03-04,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-03-05,Breakfast,"현미밥+미역국+김치",400,3000
2024-03-05,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-03-05,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-03-06,Breakfast,"현미밥+미역국+김치",400,3000
2024-03-06,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-03-06,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-03-07,Breakfast,"현미밥+미역국+김치",400,3000
2024-03-07,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-03-07,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-03-08,Breakfast,"현미밥+미역국+김치",400,3000
2024-03-08,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-03-08,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-03-09,Breakfast,"현미밥+미역국+김치",400,3000
2024-03-09,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-03-09,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-03-10,Breakfast,"현미밥+미역국+김치",400,3000
2024-03-10,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-03-10,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-03-11,Breakfast,"현미밥+미역국+김치",400,3000
2024-03-11,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-03-11,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-03-12,Breakfast,"현미밥+미역국+김치",400,3000
2024-03-12,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-03-12,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-03-13,Breakfast,"현미밥+미역국+김치",400,3000
2024-03-13,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-03-13,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-03-14,Breakfast,"현미밥+미역국+김치",400,3000
2024-03-14,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-03-14,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-03-15,Breakfast,"현미밥+미역국+김치",400,3000
2024-03-15,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-03-15,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-03-16,Breakfast,"현미밥+미역국+김치",400,3000
2024-03-16,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-03-16,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-03-17,Breakfast,"현미밥+미역국+김치",400,3000
2024-03-17,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-03-17,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-03-18,Breakfast,"현미밥+미역국+김치",400,3000
2024-03-18,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-03-18,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-03-19,Breakfast,"현미밥+미역국+김치",400,3000
2024-03-19,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-03-19,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-03-20,Breakfast,"현미밥+미역국+김치",400,3000
2024-03-20,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-03-20,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-03-21,Breakfast,"현미밥+미역국+김치",400,3000
2024-03-21,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-03-21,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-03-22,Breakfast,"현미밥+미역국+김치",400,3000
2024-03-22,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-03-22,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-03-23,Breakfast,"현미밥+미역국+김치",400,3000
2024-03-23,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-03-23,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-03-24,Breakfast,"현미밥+미역국+김치",400,3000
2024-03-24,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-03-24,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-03-25,Breakfast,"현미밥+미역국+김치",400,3000
2024-03-25,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-03-25,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-03-26,Breakfast,"현미밥+미역국+김치",400,3000
2024-03-26,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-03-26,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-03-27,Breakfast,"현미밥+미역국+김치",400,3000
2024-03-27,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-03-27,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-03-28,Breakfast,"현미밥+미역국+김치",400,3000
2024-03-28,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-03-28,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-03-29,Breakfast,"현미밥+미역국+김치",400,3000
2024-03-29,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-03-29,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-03-30,Breakfast,"현미밥+미역국+김치",400,3000
2024-03-30,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-03-30,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-03-31,Breakfast,"현미밥+미역국+김치",400,3000
2024-03-31,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-03-31,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-04-01,Breakfast,"현미밥+미역국+김치",400,3000
2024-04-01,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-04-01,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-04-02,Breakfast,"현미밥+미역국+김치",400,3000
2024-04-02,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-04-02,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-04-03,Breakfast,"현미밥+미역국+김치",400,3000
2024-04-03,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-04-03,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-04-04,Breakfast,"현미밥+미역국+김치",400,3000
2024-04-04,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-04-04,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-04-05,Breakfast,"현미밥+미역국+김치",400,3000
2024-04-05,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-04-05,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-04-06,Breakfast,"현미밥+미역국+김치",400,3000
2024-04-06,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-04-06,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-04-07,Breakfast,"현미밥+미역국+김치",400,3000
2024-04-07,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-04-07,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-04-08,Breakfast,"현미밥+미역국+김치",400,3000
2024-04-08,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-04-08,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-04-09,Breakfast,"현미밥+미역국+김치",400,3000
2024-04-09,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-04-09,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-04-10,Breakfast,"현미밥+미역국+김치",400,3000
2024-04-10,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-04-10,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-04-11,Breakfast,"현미밥+미역국+김치",400,3000
2024-04-11,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-04-11,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-04-12,Breakfast,"현미밥+미역국+김치",400,3000
2024-04-12,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-04-12,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-04-13,Breakfast,"현미밥+미역국+김치",400,3000
2024-04-13,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-04-13,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-04-14,Breakfast,"현미밥+미역국+김치",400,3000
2024-04-14,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-04-14,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-04-15,Breakfast,"현미밥+미역국+김치",400,3000
2024-04-15,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-04-15,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-04-16,Breakfast,"현미밥+미역국+김치",400,3000
2024-04-16,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-04-16,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-04-17,Breakfast,"현미밥+미역국+김치",400,3000
2024-04-17,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-04-17,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-04-18,Breakfast,"현미밥+미역국+김치",400,3000
2024-04-18,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-04-18,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-04-19,Breakfast,"현미밥+미역국+김치",400,3000
2024-04-19,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-04-19,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-04-20,Breakfast,"현미밥+미역국+김치",400,3000
2024-04-20,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-04-20,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-04-21,Breakfast,"현미밥+미역국+김치",400,3000
2024-04-21,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-04-21,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-04-22,Breakfast,"현미밥+미역국+김치",400,3000
2024-04-22,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-04-22,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-04-23,Breakfast,"현미밥+미역국+김치",400,3000
2024-04-23,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-04-23,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-04-24,Breakfast,"현미밥+미역국+김치",400,3000
2024-04-24,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-04-24,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-04-25,Breakfast,"현미밥+미역국+김치",400,3000
2024-04-25,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-04-25,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-04-26,Breakfast,"현미밥+미역국+김치",400,3000
2024-04-26,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-04-26,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-04-27,Breakfast,"현미밥+미역국+김치",400,3000
2024-04-27,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-04-27,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-04-28,Breakfast,"현미밥+미역국+김치",400,3000
2024-04-28,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-04-28,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-04-29,Breakfast,"현미밥+미역국+김치",400,3000
2024-04-29,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-04-29,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-04-30,Breakfast,"현미밥+미역국+김치",400,3000
2024-04-30,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-04-30,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-05-01,Breakfast,"현미밥+미역국+김치",400,3000
2024-05-01,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-05-01,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-05-02,Breakfast,"현미밥+미역국+김치",400,3000
2024-05-02,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-05-02,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-05-03,Breakfast,"현미밥+미역국+김치",400,3000
2024-05-03,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-05-03,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-05-04,Breakfast,"현미밥+미역국+김치",400,3000
2024-05-04,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-05-04,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-05-05,Breakfast,"현미밥+미역국+김치",400,3000
2024-05-05,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-05-05,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-05-06,Breakfast,"현미밥+미역국+김치",400,3000
2024-05-06,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-05-06,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-05-07,Breakfast,"현미밥+미역국+김치",400,3000
2024-05-07,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-05-07,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-05-08,Breakfast,"현미밥+미역국+김치",400,3000
2024-05-08,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-05-08,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-05-09,Breakfast,"현미밥+미역국+김치",400,3000
2024-05-09,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-05-09,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-05-10,Breakfast,"현미밥+미역국+김치",400,3000
2024-05-10,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-05-10,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-05-11,Breakfast,"현미밥+미역국+김치",400,3000
2024-05-11,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-05-11,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-05-12,Breakfast,"현미밥+미역국+김치",400,3000
2024-05-12,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-05-12,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-05-13,Breakfast,"현미밥+미역국+김치",400,3000
2024-05-13,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-05-13,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-05-14,Breakfast,"현미밥+미역국+김치",400,3000
2024-05-14,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-05-14,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-05-15,Breakfast,"현미밥+미역국+김치",400,3000
2024-05-15,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-05-15,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-05-16,Breakfast,"현미밥+미역국+김치",400,3000
2024-05-16,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-05-16,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-05-17,Breakfast,"현미밥+미역국+김치",400,3000
2024-05-17,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-05-17,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-05-18,Breakfast,"현미밥+미역국+김치",400,3000
2024-05-18,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-05-18,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-05-19,Breakfast,"현미밥+미역국+김치",400,3000
2024-05-19,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-05-19,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-05-20,Breakfast,"현미밥+미역국+김치",400,3000
2024-05-20,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-05-20,Dinner,"계란말이+시금치나물+쌀밥",500,5000
